collection,floorPrice,numOwners,totalSupply,oneDayTotalVolume,oneDayChange,oneDaySecondaryVolume,oneDaySecondaryChange,sevenDayTotalVolume,sevenDayChange,sevenDaySecondaryVolume,sevenDaySecondaryChange,thirtyDayTotalVolume,thirtyDayChange,thirtyDaySecondaryVolume,thirtyDaySecondaryChange,totalVolume,avgSalePrice,totalPrimaryVolume,totalSecondaryVolume,oneDayNumSecondarySales,oneDayNumSecondarySalesChange,oneDayNumTotalSales,oneDayNumTotalSalesChange,sevenDayNumSecondarySales,sevenDayNumSecondarySalesChange,sevenDayNumTotalSales,sevenDayNumTotalSalesChange,thirtyDayNumSecondarySales,thirtyDayNumSecondarySalesChange,thirtyDayNumTotalSales,thirtyDayNumTotalSalesChange,totalNumTotalSales,totalNumSecondarySales,totalNumPrimarySales,totalMarketCap
"{'niftyTitle': 'C³211', 'niftyType': 17, 'niftyContractAddress': '0x888f3f40e7f693167b705415dc3a564d29b39375', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/video/upload/v1645830670/AMatthew/CryptoCubes2022March2/C_211_gnx6vb.mp4', 'staticThumbnailUrl': ''}",0.00,1,1,0.00,0.00,0.00,0.00,250000.00,0.00,250000.00,0.00,250000.00,0.00,250000.00,0.00,250100.00,250000.00,100,250000,0,0.00,0,0.00,1,0.0,1,0.0,1,0.0,1,0.0,2,1,1,0
"{'niftyTitle': 'cy twombeef, unhinged', 'niftyType': 25, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722982/Patrick/dwtml/cy_twombeef_unhinged.jpg', 'staticThumbnailUrl': ''}",34900.00,9,9,0.00,0.00,0.00,0.00,248421.00,,185700.00,,248421.00,,185700.00,,248421.00,30950.00,62721,185700,0,0.00,0,0.00,6,,15,,6,,15,,15,6,9,314100
"{'niftyTitle': 'NADIR', 'niftyType': 2, 'niftyContractAddress': '0xdbcfa2aa2a56ad26f05d50df188aea82d58120df', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/video/upload/v1659209692/Max/VictorMosquera/NADIR_edit_c4zyjv.mp4', 'staticThumbnailUrl': ''}",300000.00,10,10,225000.00,22500000.00,225000.00,22500000.00,225000.00,22500000.00,225000.00,22500000.00,225000.00,22500000.00,225000.00,22500000.00,4119200.00,529800.00,2000000,2119200,1,100.00,1,100.00,1,100.0,1,100.0,1,100.0,1,100.0,14,4,10,3000000
"{'niftyTitle': '-oop', 'niftyType': 2, 'niftyContractAddress': '0x195108d840638d69e8c3e307cd8e5aaf4182b2c7', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1694381382/publishers/niftygateway_curated/97615/116592/-oop.jpg', 'staticThumbnailUrl': ''}",0.00,11,30,0.00,-100.00,0.00,-100.00,217500.00,,17500.00,,217500.00,,17500.00,,217500.00,17500.00,200000,17500,0,-100.00,0,-100.00,1,,17,,1,,17,,17,1,16,0
"{'niftyTitle': 'Alley', 'niftyType': 3, 'niftyContractAddress': '0x195108d840638d69e8c3e307cd8e5aaf4182b2c7', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1694381303/publishers/niftygateway_curated/97615/116591/Alley.jpg', 'staticThumbnailUrl': ''}",17500.00,12,30,0.00,-100.00,0.00,0.00,212500.00,,0.00,,212500.00,,0.00,,212500.00,0.00,212500,0,0,0.00,0,-100.00,0,,17,,0,,17,,17,0,17,525000
"{'niftyTitle': 'The Canvas', 'niftyType': 1, 'niftyContractAddress': '0x31a2e8440a4b1dad48b2abc3298bafe410f9fdb1', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1694382104/publishers/niftygateway_curated/97616/116593/The%20Canvas.jpg', 'staticThumbnailUrl': ''}",12000.00,19,22,0.00,-100.00,0.00,0.00,195800.00,,0.00,,195800.00,,0.00,,195800.00,0.00,195800,0,0,0.00,0,-100.00,0,,22,,0,,22,,22,0,22,264000
"{'niftyTitle': 'The Siren Collection Stamp', 'niftyType': 1, 'niftyContractAddress': '0x1ff052df592ffcf42fe6a4173975d351dcc99d45', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1677543660/aChrisly/SBUX%20SIREN%20COLLECTION/Splash-page_-Animation1600x1600.gif', 'staticThumbnailUrl': ''}",36900.00,1030,2000,0.00,0.00,0.00,0.00,182000.00,0.00,182000.00,0.00,1276598.00,-10.80,1276598.00,-10.80,88849976.00,56275.45,20000000,68849976,0,0.00,0,0.00,5,0.0,5,0.0,35,-10.0,35,-10.0,3225,1225,2000,73800000
"{'niftyTitle': 'The Bitcoin Storm', 'niftyType': 1, 'niftyContractAddress': '0xc52b7be8ff8ff020514d274a4e16cb5418011c60', 'niftyDisplayImage': 'https://media.niftygateway.com/video/upload/v1693550909/publishers/limbomask/95176/114315/THE%20BITCOIN%20STORM.mp4', 'staticThumbnailUrl': ''}",785000000.00,19,25,0.00,0.00,0.00,0.00,172500.00,,0.00,,172500.00,,0.00,,172500.00,0.00,172500,0,0,0.00,0,0.00,0,,25,,0,,25,,25,0,25,19625000000
"{'niftyTitle': 'fully lubricated grass', 'niftyType': 30, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722986/Patrick/dwtml/fully_lubricated_grass.jpg', 'staticThumbnailUrl': ''}",0.00,9,9,0.00,0.00,0.00,0.00,160294.00,,97573.00,,160294.00,,97573.00,,160294.00,19514.60,62721,97573,0,0.00,0,0.00,5,,14,,5,,14,,14,5,9,0
"{'niftyTitle': 'm', 'niftyType': 1, 'niftyContractAddress': '0xc3f8a0f5841abff777d3eefa5047e8d413a1c9ab', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/image/upload/v1638317729/Patrick/Pak/m_e8eyc6.png', 'staticThumbnailUrl': ''}",14700.00,21550,28983,0.00,-100.00,0.00,-100.00,157700.00,-4.89,157700.00,-4.89,335069.00,-4.28,335069.00,-4.28,9949198683.00,232419.43,9180451100,768747583,0,-100.00,0,-100.00,12,-7.0,12,-7.0,27,-3.0,27,-3.0,32294,3304,28990,426050100
"{'niftyTitle': 'mainstream adoption', 'niftyType': 10, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722985/Patrick/dwtml/mainstream_adoption.jpg', 'staticThumbnailUrl': ''}",88800.00,6,6,0.00,0.00,0.00,0.00,151814.00,,110000.00,,151814.00,,110000.00,,151814.00,55000.00,41814,110000,0,0.00,0,0.00,2,,8,,2,,8,,8,2,6,532800
"{'niftyTitle': 'eOTC Ship It Award', 'niftyType': 1, 'niftyContractAddress': '0xafa2a4fc65f0f91d673f82eca3302e96e71d25d0', 'niftyDisplayImage': 'https://res.cloudinary.com/nifty-gateway/image/upload/v1677201558/publishers/gemini/34619/51613/Screen%20Shot%202023-02-23%20at%205.18.04%20PM.png', 'staticThumbnailUrl': ''}",0.00,19,32,0.00,0.00,0.00,0.00,150000.00,0.00,150000.00,0.00,150000.00,0.00,150000.00,0.00,150000.00,150000.00,0,150000,0,0.00,0,0.00,1,0.0,1,0.0,1,0.0,1,0.0,1,1,0,0
"{'niftyTitle': 'after fucking the grass', 'niftyType': 16, 'niftyContractAddress': '0x5d4978bc3670eee2bb6379c2a0512b723c0f2870', 'niftyDisplayImage': 'https://media.niftygateway.com/image/upload/v1692722978/Patrick/dwtml/after_fucking_the_grass.jpg', 'staticThumbnailUrl': ''}",24900.00,8,9,0.00,0.00,0.00,0.00,149091.00,,86370.00,,149091.00,,86370.00,,149091.00,21592.50,62721,86370,0,0.00,0,0.00,4,,13,,4,,13,,13,4,9,224100
