thirty days,Volume,No of  Sales,Average Floor Price,Owners
Inward Outing V: Rebound ,4.5781676341860935,3,6.043181277125643,14
Lost battle,4.5781676341860935,5,91563.35268372187,4
VALLEY OF DEATH,4.5781676341860935,3,241.91037779039317,3
manic - negative mindset,4.5781676341860935,3,30.521117561240622,3
Timeless,4.5781676341860935,5,135.63584644215334,4
Serene Villages,4.5781676341860935,1,0.0,1
Into the Cryptoverse by 0xSynergy,4.4560831639411305,4,2.239639606643837,173
#12 NOT,4.395040928818649,8,427295.6458573687,5
Inhibitor,4.272956458573687,1,4.8833788097985,39
THE SAPPHIRE,4.272956458573687,1,5.4938011610233115,45
Money Talks-Marilyn,4.272956458573687,2,0.0,2
YELLOW DUCK,4.272956458573687,7,3.6625341073488746,7
Existence,4.272956458573687,7,3.6625341073488746,5
Radiance,4.272956458573687,7,1.770224818551956,6
ORIGINAL RENÉ MÄKELÄ'S SKULL (A5),4.272956458573687,1,0.0,11
Gold ETHER PİGGY BANK,4.272956458573687,7,91563.35268372187,5
„482 MG“,4.272956458573687,1,6.104223512248124,672
Satoshiverse - Satoshi's Legions - The Legionnaires,4.272956458573687,1,5.579260290194786,1285
CONTEMPLATION,4.272956458573687,1,0.0,1
BLUE DUCK,4.272956458573687,7,6.043181277125643,6
Reaper,4.272956458573687,11,4.5781676341860935,6
INTERCONNECTED,4.272956458573687,1,0.0,1
The Myth Of Fingerprints,4.272956458573687,7,0.0,7
Celestial illusion,4.266852235061439,10,120.19216095616557,7
asszuki number five,4.254033365685718,1,0.0,1
Dog World,4.211914223451206,1,6.043181277125643,8
Karma Key 1,4.211914223451206,1,15.260558780620311,335
Alter Ego,4.211914223451206,1,2.7469005805116558,13
Kan Hunter,4.211914223451206,19,0.4883378809798499,13
Ghost Cosmos,4.211914223451206,23,1.526055878062031,9
Alter Ego,4.211914223451206,1,2.7469005805116558,13
SUBLIMATION,4.089829753206243,4,1.526055878062031,50
New Adam is Born,4.089829753206243,9,427295.6458573687,6
FLOOD,4.089829753206243,1,3.3573229317364683,433
Garbage King,4.059308635645003,7,303.3188663236093,5
"@immigrantkiddo - From Crypto Art to Trading Cards, Investment Manias Abound",4.051983567430305,4,2.563773875144212,11
Vasilisa,4.028787518083762,11,0.9156335268372187,5
Sea serpents III,4.028787518083762,22,1.526055878062031,14
PHANOS THRONE,3.967745282961281,1,0.0,1
Pearl Angel,3.967745282961281,5,3033.5549166468277,3
The Minotaur - Study,3.967745282961281,1,6.104223512248124,55
𝐏𝐫𝐢𝐬𝐦 𝐃𝐢𝐬𝐜𝐨𝐮𝐫𝐬𝐞,3.967745282961281,5,0.0,5
RAW MASKS,3.967745282961281,5,591.8655117475781,3
The Return of the King,3.967745282961281,1,10682.391146434218,1
Dirty Business Syndicate,3.967745282961281,5,83.56681988267682,5
Eye’s Of God,3.967745282961281,5,106823.91146434218,5
Fear the rabbit hole,3.967745282961281,1,7.874448330800081,35
𝘾𝙤𝙣𝙩𝙚𝙢𝙥𝙡𝙖𝙩𝙚,3.967745282961281,5,591.8655117475781,4
Romantic Echoes,3.967745282961281,5,591.8655117475781,4
Isolation,3.8456608127163183,21,0.9492067561545834,14
#1 Neon Metropolis,3.8456608127163183,7,152605.5878062031,7
#11 Dark Web,3.8456608127163183,7,427295.6458573687,5
New Year's Eve sex,3.8188022292624266,16,0.21303740057745954,76
SynthVision,3.7797351987840386,9,1.526055878062031,6
LOSTPOETS,3.7235763424713557,1,9.99383473425263,6459
Platinum,3.7235763424713557,3,2.563773875144212,762
Temple Hermit,3.704653249583387,5,30.521117561240622,26
PEPE FOREVER,3.6625341073488746,3,181.23439607864682,2
Similiar,3.6625341073488746,4,83.56681988267682,5
Blue,3.6625341073488746,6,22.52458476019558,7
SNITTEN KITTY,3.6625341073488746,1,39.67745282961281,50
Horizon Home,3.6625341073488746,5,12.208447024496248,4
Death of Paolo and Francesca,3.6625341073488746,5,180074.59361131967,5
Prison #4,3.6625341073488746,2,17.397037009907155,9
Oath,3.6625341073488746,4,1971.664194456144,4
Android Adam,3.6625341073488746,1,0.0,1
Smiles in the Enchantment of the Moon,3.6625341073488746,5,76302.79390310156,4
Algorithmic Despair,3.6625341073488746,3,780.6691449814126,3
251/1000,3.6625341073488746,60,4.211914223451206,3
The Winning Dance,3.6625341073488746,1,0.0,1
Genesis,3.6625341073488746,4,12.147404789373768,4
Faceless,3.6625341073488746,6,303.3188663236093,4
Synthetic Soldier,3.6625341073488746,12,181.23439607864682,7
MILAN,3.6625341073488746,4,0.0,4
Super Show,3.6625341073488746,6,303.3188663236093,5
Zara,3.6259087662753857,6,2.44168940489925,6
SuperMickey,3.6075960957386415,6,0.0,5
Hippie Beaver,3.6014918722263936,5,610.4223512248125,4
Renaissance - (Spring).,3.6014918722263936,1,0.0,1
254/1000,3.540449637103912,58,4.211914223451206,3
250/1000,3.540449637103912,58,4.211914223451206,3
253/1000,3.540449637103912,58,4.211914223451206,3
The place inside my heart,3.479407401981431,3,0.0,3
Pick You Up,3.465978110254485,1,6.104223512248124,161
Hope Hunter,3.4183651668589494,8,1.220844702449625,8
Gradual Secrets,3.4183651668589494,7,180074.59361131967,5
252/1000,3.4183651668589494,56,4.211914223451206,3
The Last Suffer,3.4183651668589494,8,46.94147880918808,7
"Block 3 (35.8897° N, 23.3078° E)",3.4183651668589494,1,183.06566313232125,9
Karma Key 2,3.390896161053833,1,10.682391146434217,285
NIGHTFALL LULL,3.387844049297709,5,0.0,5
LET COLORS IN,3.387844049297709,5,0.0,4
DUSK WHISPER,3.387844049297709,5,0.0,5
Orange Monument Mask,3.3573229317364683,2,0.0,3
Tablet Of Hermes,3.3573229317364683,1,0.0,2
The Smiler,3.3573229317364683,11,1.1598024673271436,6
BONUS GIF,3.3573229317364683,10,1.526055878062031,6
CLOSE,3.3573229317364683,1,11.353855732781511,274
Karma Key 5,3.3573229317364683,1,10.682391146434217,242
UGLY BUBBA,3.3573229317364683,1,9.705715384474518,8
#134 Disintegrating Family | Fragile,3.2962806966139873,6,91563.35268372187,5
Ocean Saber,3.2962806966139873,9,60431.81277125643,9
#132 Watercolor Me | Fragile,3.2962806966139873,6,76302.79390310156,5
#4 Homeless,3.2962806966139873,6,152605.5878062031,6
Sellouts,3.2651491567015216,13,0.24416894048992496,3800
Color Coma,3.204717343930265,1,0.0,4
ROKO'S BASILISK,3.1741962263690247,1,6.043181277125643,95
Kevinio Rodrigues,3.1741962263690247,1,4.5781676341860935,44
Infinity,3.1741962263690247,4,0.0,4
Beyond The Sea,3.1741962263690247,4,3033.5549166468277,2
CIRCUS by Ben Hopper // 1.2 Compagnie XY,3.1741962263690247,1,0.0,10
Serene Equilibrium,3.157714822885955,18,0.4272956458573687,12
Arrival of the Gang,3.1192582147587915,4,0.732506821469775,17
Libera Me #8,3.1131539912465436,1,0.0,1
Libera Me #1,3.1131539912465436,1,0.0,1
Libera Me #5,3.1131539912465436,1,425.4033365685718,1
Libera Me #3,3.1131539912465436,1,59.14992583368433,1
Before the Storm,3.094841320709799,30,0.4272956458573687,21
Nyx-55,3.052111756124062,5,0.0,5
Dinner Party,3.052111756124062,5,42.66852235061439,5
Hic Et Ubique (Red),3.052111756124062,1,13.73450290255828,13
Cold Echoes,3.052111756124062,2,0.0,3
Ralph,3.052111756124062,1,0.0,1
RED DUCK,3.052111756124062,5,6.043181277125643,4
259/1000,3.052111756124062,2,0.0,2
Surrender,3.052111756124062,2,30.521117561240622,2
Resonance of Ages,3.052111756124062,5,303.3188663236093,4
Nokia,3.052111756124062,25,0.30521117561240624,12
RAINBOW POOH,3.052111756124062,5,4.5781676341860935,5
Qi-013,3.052111756124062,5,150.7132785174062,4
Made Up by Julie Pacino,3.052111756124062,1,0.0,5
RAINBOW POOH,3.052111756124062,5,4.5781676341860935,5
Qi-013,3.052111756124062,5,150.7132785174062,4
Resonance of Ages,3.052111756124062,5,303.3188663236093,4
Libera Me #4,3.052111756124062,1,0.0,1
Organic Adam,3.052111756124062,1,0.0,1
256/1000,3.052111756124062,2,0.0,2
THIS MOMENT,3.052111756124062,2,0.0,3
Legend,3.052111756124062,5,853.8587848932676,3
258/1000,3.052111756124062,2,0.0,2
Altercation,3.052111756124062,2,152605.5878062031,2
Nokia,3.052111756124062,25,0.30521117561240624,12
Dinner Party,3.052111756124062,5,42.66852235061439,5
omni animation,3.052111756124062,2,0.0,2
Libera Me #9,3.052111756124062,1,0.0,1
manic - my curse,3.052111756124062,2,0.0,2
Night Cafe 2,3.052111756124062,1,0.0,2
manic - everything I lost,3.052111756124062,2,0.0,2
One sword style,3.052111756124062,10,18.251628301621892,7
UNFOUND,3.052111756124062,2,1812.710214197203,1
Monument Mask,3.052111756124062,2,0.0,3
RED DUCK,3.052111756124062,5,6.043181277125643,4
UNFOUND 2,3.052111756124062,2,0.0,2
Ralph,3.052111756124062,1,0.0,1
Blu fam meeting with Pepes 🐸,3.052111756124062,1,9.461546443984593,1
Liliths Dream,3.052111756124062,5,0.0,4
Libera Me #7,3.052111756124062,1,0.0,1
Libera Me #2,3.052111756124062,1,0.0,1
Surrender,3.052111756124062,2,30.521117561240622,2
Cold Echoes,3.052111756124062,2,0.0,3
Ethereal Elegance,3.0490596443679383,5,0.0,5
Prison #2,3.033188663236093,1,303.3188663236093,6
Prison #1,3.033188663236093,1,303.3188663236093,6
Elena,3.0215906385628215,5,2.44168940489925,5
ThorMickey,3.0063300797822015,5,0.0,4
BatMickey,3.0063300797822015,5,0.0,4
HulkMickey,3.0063300797822015,5,42.302268939879504,4
The way home,2.991069521001581,7,0.0,5
Seratoins Village,2.991069521001581,1,0.0,1
Hestia.,2.991069521001581,7,2.1364782292868436,7
Poker-loving Mona Lisa,2.991069521001581,1,60.98119288735876,1
Mountains in blue,2.9605484034403404,12,3.6014918722263936,6
A Necessary Connection,2.9458982670109446,5,0.5493801161023312,767
Shroom's Forest Frolic,2.9300272858791,4,0.0,4
Lone Warrior,2.9300272858791,4,91563.35268372187,4
Memories,2.9300272858791,4,0.0,4
SF2050,2.9300272858791,16,2.991069521001581,10
Crystal ETHER PİGGY BANK,2.9300272858791,6,122.08447024496249,6
Is This Real?,2.9300272858791,4,0.0,4
Anna,2.9300272858791,8,183.12670536744372,4
Lost,2.9300272858791,4,0.0,4
Robot Merry Christmas,2.929416863527875,9,0.6098119288735876,101
Muga x Van Orton,2.8689850507566184,2,1.526055878062031,215
The Gentle Reminder,2.8146574614976103,1,73.2506821469775,5
GI△,2.8079428156341373,1,15.260558780620311,24
Confectioner,2.7939031015559666,3,91563.35268372187,5
Saint Bear,2.7469005805116558,1,2.3806471697767684,48
Ascend,2.7469005805116558,3,119032.35848883842,3
Evolution,2.7469005805116558,3,83.56681988267682,4
Mad Rabbits Burrow Pass,2.7469005805116558,3,1.4039714078170686,1376
#10 Mechatown,2.7469005805116558,5,427295.6458573687,4
Tension,2.7469005805116558,3,0.0,3
Georges,2.7469005805116558,1,0.0,1
Chaos Silence,2.7469005805116558,9,0.9766757619596999,9
#9 Eternal Wait,2.7469005805116558,5,427295.6458573687,4
Plate and People,2.7469005805116558,9,22.52458476019558,6
BONUS POOH,2.7469005805116558,15,1.8312670536744373,6
Salvador,2.7469005805116558,1,0.0,1
#5 Eyes Wide,2.7469005805116558,5,152605.5878062031,5
Reina,2.7469005805116558,3,0.0,3
Hidden,2.7469005805116558,3,897.0766873599844,2
Distress,2.7469005805116558,3,0.0,3
Collector,2.7469005805116558,3,119.82590754543068,3
Pablo,2.7469005805116558,1,0.0,1
#2 District 11,2.7469005805116558,5,152605.5878062031,5
WHITE SKULL BASQUIAT TRIBUTE,2.7469005805116558,1,21.364782292868433,19
Digital Dreamscape,2.7469005805116558,1,0.0,2
The last journey,2.7469005805116558,11,30.521117561240622,7
#3 Napcherc,2.7469005805116558,5,152605.5878062031,5
Inu,2.7469005805116558,1,2.9300272858791,99
KENAVO by Aeforia's dad,2.7469005805116558,1,3.6014918722263936,115
Realize,2.7469005805116558,3,1587.0981131845124,3
Shape Shifter,2.7469005805116558,9,1.526055878062031,9
ZEUS,2.7469005805116558,3,3.6625341073488746,3
SUNRAY TOUCH,2.7102752394381673,4,0.0,4
PRESIDENTS POSTER,2.6858583453891747,5,0.0,5
Superchief Gallery NFT 2023 Mint Pass,2.6858583453891747,4,2.9300272858791,324
Grid Weaver,2.6797541218769267,4,14.039714078170686,29
PRES BUTTONS,2.6248161102666936,1,60.98119288735876,9
Purple,2.6181014644032206,2,3.052111756124062,17
Artificial Renaissance,2.603451327973825,5,0.36564298838366266,154
SUPER SATOSHI 01 THE ENDLESS REACHES OF CYBERSPACE,2.5955158374079024,1,39.67745282961281,60
Ottawa,2.5686572539540107,14,0.22890838170930466,31
Genetic Concussion,2.563773875144212,7,1.526055878062031,6
SERAPHINA,2.563773875144212,13,9.156335268372187,12
High Intuition,2.563773875144212,14,1.220844702449625,9
The Three Ages Of Woman Mother and Child,2.563773875144212,14,2.991069521001581,15
Daria,2.563773875144212,7,0.9156335268372187,2
Cheshire Lady,2.563773875144212,6,0.0,6
Satoshi Girl 20,2.563773875144212,42,0.4883378809798499,13
Pink,2.552175850470941,2,0.0,15
Golden Monzturo,2.5503445834172664,8,2.44168940489925,5
Cover Up,2.502731640021731,36,0.4211914223451206,22
Queen with Snake,2.4490144731139476,1,8.545912917147374,116
Happiness Cube,2.44168940489925,8,60.98119288735876,6
Synthetic Memory,2.44168940489925,8,181.23439607864682,5
T4ra-21,2.44168940489925,4,0.0,4
The cat&dog,2.44168940489925,4,476129.4339553537,4
mindless 1,2.44168940489925,1,152605.5878062031,1
Sleepy Sin,2.44168940489925,1,0.0,1
Hush (Baeige),2.44168940489925,1,6.043181277125643,45
One sunny day,2.44168940489925,6,0.0,4
ALIENATION,2.44168940489925,4,213647.82292868436,3
akiha rainy day animation,2.44168940489925,1,0.0,1
BLACK POOH,2.44168940489925,4,0.0,4
Hippie Rabbit,2.44168940489925,5,1.526055878062031,5
The gentleman,2.44168940489925,4,60.98119288735876,4
UNFOUND ANIMATION 2,2.44168940489925,1,0.0,1
Artificial Dreams,2.44168940489925,2,0.0,2
BLUE,2.44168940489925,1,54.20550478876334,1
Slay at Home Dad,2.44168940489925,4,3.052111756124062,4
Mother of Skulls,2.44168940489925,4,9.156335268372187,1
Abraham Lincoln,2.44168940489925,4,0.0,4
All Seeing Eyes,2.44168940489925,1,0.0,1
The Monument Mask,2.44168940489925,1,0.0,1
Based Fish Mafia,2.44168940489925,1,2.8421264673027267,2441
Not Chagall,2.44168940489925,8,5.4938011610233115,6
Juan,2.44168940489925,1,0.0,1
mindless 2,2.44168940489925,1,152605.5878062031,1
Mutant #1,2.44168940489925,4,0.0,4
MERCHANDISE Buy_<=03,2.44168940489925,4,0.0,4
Eledan,2.44168940489925,1,4.5781676341860935,28
The Rock,2.44168940489925,2,610.4223512248125,2
Tremors of the Soul,2.44168940489925,4,76302.79390310156,4
GREEN DUCK,2.44168940489925,4,6.104223512248124,4
G-CONSTRUCTION: THE KEYS,2.44168940489925,2,1.5870981131845123,241
BLUE POOH,2.44168940489925,4,0.0,4
Serpents Aquatiques II,2.3806471697767684,13,2.991069521001581,14
"AN UNIMAGINABLE FUTURE , v2",2.3806471697767684,1,0.0,2
"Keep The Noise of The Liars""",2.3806471697767684,3,152605.5878062031,3
I WANNABE A BILLIONAIRE,2.3806471697767684,3,6043.181277125643,3
franklin,2.3806471697767684,1,73.2506821469775,22
CROWD PARTY,2.3806471697767684,3,83.56681988267682,3
1000 times abstract,2.3806471697767684,3,2991.069521001581,3
True Anonym,2.3806471697767684,3,6409.43468786053,3
Balingo,2.3806471697767684,1,27.10275239438167,46
bobby,2.3806471697767684,1,10.31613773569933,27
Queen of Death,2.3806471697767684,13,0.9766757619596999,11
A Good Year For The Roses,2.3806471697767684,13,2.44168940489925,7
双子,2.3806471697767684,3,0.0,3
I Trust The Mirror In Front of Me More,2.3806471697767684,3,152605.5878062031,3
Survive,2.3806471697767684,3,6043.181277125643,3
Superchief Gallery NFT x Ahol Sniffs Glue Mint Pass,2.333644648732458,20,0.45781676341860933,224
Lazarus - The Day After by Bael,2.3196049346542873,1,23.684387227522723,12
Gold,2.3128902887908143,4,0.5487696937511064,3019
BRAIN WASH!,2.2890838170930468,1,0.0,4
Haru (春),2.235977072536488,11,0.5493801161023312,10
Angelic Team Edition NFT,2.2243790478632164,7,6.043181277125643,24
Crypto Walk,2.1975204644093247,1,3.6625341073488746,10
BBX Ag x. Sideshow Radio,2.1975204644093247,2,12.147404789373768,8
Illusionist Beauty,2.1975204644093247,6,0.9156335268372187,6
Waystation,2.1975204644093247,12,2.991069521001581,8
Vera.,2.1975204644093247,6,30.521117561240622,5
Teratoma,2.179818216223805,2,140.39714078170687,19
BBX Ag x. Radio Assembly Line,2.1688306139017586,2,12.147404789373768,10
Elon,2.14868667631134,4,0.0,4
FAMILY TREE,2.14868667631134,4,0.0,2
Jeff,2.14868667631134,4,6104.162470013001,4
Vitalik,2.14868667631134,4,0.0,3
Detritus #22,2.1364782292868436,1,0.0,4
I Asked Myself For Peace (Silver),2.1364782292868436,1,2.7469005805116558,158
Feast of Fantasies,2.1364782292868436,1,0.0,2
Boonji Project by Brendan Murphy,2.1364782292868436,1,4.598311571776512,3482
Red Chaos,2.1364782292868436,5,1.526055878062031,4
Kranky: Metal as Fuck Gold Edition,2.1364782292868436,1,6.104223512248124,45
Endless Beauty,2.1364782292868436,1,0.0,1
NO RAIN: NO RAINBOW,2.1364782292868436,1,11.903235848883842,95
The Twins,2.1364782292868436,5,320471.7343930265,5
Cat in the Stars,2.1364782292868436,7,9.156335268372187,7
SAINT,2.1364782292868436,1,3.9067030478387994,183
Money Talks-Betty,2.1364782292868436,1,35907.218244303236,1
Replaced Entity,2.1364782292868436,7,181.23439607864682,3
Artificial transfer,2.1364782292868436,7,181.23439607864682,4
7. Sense,2.1364782292868436,5,30.521117561240622,5
Money Talks-Jessica,2.1364782292868436,1,0.0,1
Take Me Higher,2.075435994164362,1,2.8689850507566184,264
The Absence of Heat,2.0345376966322997,1,4.8833788097985,120
Momo (桃),2.0327064295786252,5,1526.055878062031,4
Kimiyo (キミヨ),2.0327064295786252,5,1526.055878062031,5
Breathe,2.014393759041881,2,1.0987602322046623,20
Satoshi Girl 22,2.014393759041881,33,0.3821243918667326,12
MALIK,2.014393759041881,10,61.042235122481245,9
Satoshi Girl 21,2.014393759041881,33,0.30521117561240624,13
BONUS GIF,2.014393759041881,6,2.44168940489925,4
Marigold,2.014393759041881,3,152.60558780620312,15
ARIA,2.014393759041881,10,61.042235122481245,9
Family Poster,2.014393759041881,6,0.0,5
Dark Classic - Venezia,2.014393759041881,1,339.0896161053833,6
@rebekah_bastian - Max Verstappen Wins Formula 1 Title,2.0137833366906563,2,1.526055878062031,10
Promise,1.9844830638318651,1,213.64782292868435,8
A Blossoming Presidency,1.9838726414806405,5,0.0,6
Hippie Terrier,1.9533515239193997,4,1.526055878062031,4
Nurse Strong Arm,1.9533515239193997,4,1.220844702449625,2
WATCH OUT by Max Kulchinsky,1.9197782946020352,4,0.9577526690717307,83
Waypoint,1.897192667606717,1,0.0,6
BBX Ag x. Rocket Radio,1.8910884440944689,2,12.147404789373768,10
Isolde,1.8801008417724223,4,0.0,4
Covid Heroes - Winklevoss Twins,1.878269574718748,1,7.630279390310156,40
YOU and YOURSELF,1.8733861959089493,1,457816.76341860933,1
LENA,1.8605673265332283,3,1.2202342800984,16
Family,1.8312670536744373,1,30.521117561240622,15
Chastity Varieties,1.8312670536744373,3,42119.14223451206,2
Alone,1.8312670536744373,1,476129.4339553537,1
PepeForever(Cover),1.8312670536744373,3,22.52458476019558,2
Nostalgic Place,1.8312670536744373,3,0.0,3
Faux,1.8312670536744373,1,2.991069521001581,8
Mutant #4,1.8312670536744373,3,0.0,3
scream,1.8312670536744373,2,0.0,3
LULLABY,1.8312670536744373,2,0.0,2
„The Ecstasy of Crypto 2 - Bitcoin Edition“,1.8312670536744373,1,3.6625341073488746,463
Hippie Octopus,1.8312670536744373,10,1.220844702449625,6
Alice,1.8312670536744373,5,0.9156335268372187,3
VIXTIM,1.8312670536744373,1,0.0,2
skyline,1.8312670536744373,3,0.0,3
Meka Hell,1.8312670536744373,3,60.98119288735876,3
Celebrity Covergirl #3,1.8312670536744373,6,3.1741962263690247,4
Journey of Yellow,1.8312670536744373,2,1.770224818551956,2
DISCUSSION,1.8312670536744373,3,152605.5878062031,3
G-Construction Extended,1.8312670536744373,1,57.50178548537733,35
Discovery of Peace,1.8312670536744373,3,0.0,3
STRUGGLING Fly_L.0.2,1.8312670536744373,3,0.0,3
他,1.8312670536744373,3,0.0,3
Mutant #2,1.8312670536744373,3,0.0,3
John F. Kennedy,1.8312670536744373,3,0.0,3
Ronald Reagan,1.8312670536744373,3,0.0,3
Cyborgirl,1.8312670536744373,3,0.9095293033249705,25
Iunctura,1.8312670536744373,2,83.56681988267682,2
PURPLE DUCK,1.8312670536744373,3,97.66757619596999,3
The View From The Balcony,1.8312670536744373,10,2.991069521001581,6
"Gather Ye Rosebuds, Beyotch",1.8312670536744373,1,0.0,2
Velvet Dreams,1.8312670536744373,2,60737.02394686884,3
The Myth of Sisyphus,1.8312670536744373,1,0.0,2
Rituale,1.8312670536744373,2,83.56681988267682,2
YELLOW POOH,1.8312670536744373,3,0.0,3
Pellucid,1.8312670536744373,1,7.325068214697749,203
G-SPACE,1.8312670536744373,1,15.260558780620311,96
Versus Medici,1.8312670536744373,3,476129.4339553537,3
George W. Bush,1.8312670536744373,3,0.0,3
Remember what i feel,1.8312670536744373,3,9.156335268372187,3
Neural Data,1.8312670536744373,6,181.23439607864682,3
MOUNT4IN B1K3,1.8312670536744373,1,4.700252104431056,44
Bronze ETHER PİGGY BANK,1.8312670536744373,10,18.251628301621892,6
Eerie Echoes,1.8312670536744373,3,0.0,3
Intra-access,1.8312670536744373,6,181.23439607864682,3
Endless Story,1.8312670536744373,3,0.0,9
Tiny Trump,1.8312670536744373,10,0.0,10
Eye Opening #2,1.8312670536744373,1,2.8079428156341373,217
Hi There,1.8312670536744373,4,1.281886937572106,13
ARION,1.8312670536744373,1,0.0,2
Stars,1.8312670536744373,2,2.9300272858791,25
Run Fors Run!!!,1.8312670536744373,2,106823.91146434218,2
034,1.8312670536744373,3,106823.91146434218,3
TROJAN Fox_S.Be-01,1.8312670536744373,3,0.0,3
Silver ETHER PİGGY BANK,1.8312670536744373,6,1.526055878062031,4
reflection,1.8312670536744373,3,0.0,4
Omnes Videntes,1.8312670536744373,2,83.56681988267682,2
"""WHERE WENT MY VIGOR""",1.8312670536744373,3,0.0,3
ORANGE DUCK,1.8312670536744373,3,0.0,3
Two Heads,1.8312670536744373,2,0.0,3
POSEIDON,1.8312670536744373,2,3.6625341073488746,2
Barack Obama,1.8312670536744373,3,0.0,3
SUPREMACY Nfx_40.4,1.8312670536744373,3,91563.35268372187,3
LVL1.RAD - Chepertom,1.8312670536744373,1,42.485395645246946,23
Golden Princess,1.8312670536744373,3,1.526055878062031,3
Cabeza,1.8312670536744373,3,476129.4339553537,3
GOD KING,1.8312670536744373,1,0.0,1
PURGE,1.8312670536744373,2,0.0,2
Rainbow Mickey,1.8306566313232124,1,180.07459361131967,5
Mystical Melancholia,1.829435786620763,3,30.46007532611814,3
Layla,1.8129543831376929,3,152605.5878062031,3
CYBER,1.8123439607864682,2,0.9156335268372187,38
Between Two Worlds,1.770224818551956,1,12.147404789373768,10
BONUS: AI Jack,1.770224818551956,1,1.526055878062031,13
Daisy Whiskerfield,1.770224818551956,1,0.0,2
PLAN X 'XPLORER',1.7397037009907155,1,1.7397037009907155,345
Radio Boombox: Animated,1.7134555398880484,1,17.09182583429475,37
Venus,1.7091825834294747,4,0.0,4
Simulation Architect,1.7091825834294747,4,152605.5878062031,4
Sunset-2,1.7091825834294747,4,0.0,4
Wild Ride,1.7091825834294747,1,2.7469005805116558,137
Deadly Ivy,1.7091825834294747,7,3.0515013337728374,6
Chibi (ちび),1.6939220246488544,5,1526.055878062031,5
Michi (道),1.6939220246488544,5,1526.055878062031,5
Splinter Bug,1.6878178011366063,2,14.650136429395499,44
Vincent van Gogh Soccer player,1.6847656893804823,2,305211.1756124062,2
You Oughta Know By Now,1.6682842858974123,1,2.2890838170930468,31
Squash,1.6615696400339395,1,45.78167634186093,20
Chosen Person,1.6481403483069936,3,91563.35268372187,3
Opinion,1.6481403483069936,1,1.9533515239193997,26
#22 Cannon Arm,1.6481403483069936,3,0.0,3
#20 Green Shade,1.6481403483069936,3,0.0,3
Hacker,1.6481403483069936,9,6.043181277125643,7
Deserted,1.6481403483069936,4,0.30521117561240624,32
#17 Hipai Street,1.6481403483069936,3,0.0,3
Steve,1.611515007233505,3,0.0,3
PEPE NEWWORK,1.5870981131845123,2,213647.82292868436,2
The Lucci Mask,1.5870981131845123,2,173970.37009907153,2
Cycle,1.5870981131845123,2,30521.117561240622,2
Immortal Rap,1.584656423779613,4,1.526055878062031,4
Seated Bored by Dario De Siena,1.532770523925504,2,0.9156335268372187,83
Invador,1.5272767227644808,2,2.304954798224892,240
Ophelia,1.526055878062031,1,97.66757619596999,4
260/1000,1.526055878062031,1,0.0,1
"You are exceptional, no matter what.",1.526055878062031,1,0.0,12
DOWNTOWN,1.526055878062031,1,15.565769956232717,6
Phantom Parlour,1.526055878062031,1,1526.055878062031,7
banguh,1.526055878062031,1,0.0,25
Angelic Team New Year NFT,1.526055878062031,2,91.56335268372186,10
Cruising Artifact,1.526055878062031,1,1.8312670536744373,105
PITBOSS,1.526055878062031,1,48.772745862862514,15
Hallucinations Flow,1.526055878062031,1,0.0,6
Me and The Cat,1.526055878062031,2,1.8312670536744373,25
The Last Roast,1.526055878062031,1,2.9666526269525884,313
DIRT CIRCUS,1.526055878062031,1,11.29281349765903,5
WASTED,1.526055878062031,1,0.0,1
VICE DOCKS,1.526055878062031,1,0.0,4
Relaxed,1.526055878062031,2,0.0,3
useless,1.526055878062031,1,152605.5878062031,1
261/1000,1.526055878062031,1,0.0,1
G-KLA$$€,1.526055878062031,1,3.3573229317364683,678
Return,1.526055878062031,1,0.0,3
Infinite Sculpture 2,1.526055878062031,1,6.714645863472937,333
akiha street,1.526055878062031,1,0.0,1
The Reflection,1.526055878062031,1,60.98119288735876,9
Internal Agony,1.526055878062031,1,9.156335268372187,9
The Grand Confusion Hotel,1.526055878062031,1,29.605484034403403,9
Permanent Vacation Poster Edition ,1.526055878062031,1,15.565769956232717,8
Hedgehog,1.526055878062031,2,0.0,3
kiyoko street,1.526055878062031,1,0.0,1
Lonely,1.526055878062031,1,476129.4339553537,1
MONA,1.526055878062031,1,1526055.878062031,1
TEMPTATION,1.526055878062031,2,4.211914223451206,80
kiyoko street animation,1.526055878062031,1,0.0,1
ACCELERATED LIFETIME,1.526055878062031,1,1.8312670536744373,22
257/1000,1.526055878062031,1,0.0,1
Taste,1.526055878062031,1,4.211914223451206,6
Aya,1.46501364293955,4,0.9156335268372187,4
Diana,1.46501364293955,4,4.254033365685718,3
Haruka,1.46501364293955,4,0.9156335268372187,4
Found a Myth Temple,1.46501364293955,2,152605.5878062031,2
Alina,1.46501364293955,4,12.147404789373768,3
Asami,1.46501364293955,4,0.9156335268372187,4
sunset view2,1.46501364293955,8,6.043181277125643,7
Galactic Dream Journey,1.46501364293955,2,0.0,2
Akane,1.46501364293955,4,0.9156335268372187,4
Smiling Nurse,1.46501364293955,3,1.220844702449625,3
Hippie Wolf,1.46501364293955,3,1.526055878062031,3
Chinami,1.46501364293955,4,1.220844702449625,4
sunset view 1,1.46501364293955,8,6.043181277125643,6
Arina.,1.46501364293955,4,30.46007532611814,3
Sofia.,1.46501364293955,4,18.251628301621892,3
Passionate Caregiver,1.46501364293955,3,1.220844702449625,2
