thirty days,Volume,No of  Sales,Average Floor Price,Owners
Mutant,48.83378809798499,1,65.25414934593245,22
fuckable forge,48.05305791076846,10,6.40943468786053,9
a humble offering,47.852228957215495,8,0.0,6
asszuki number seven,47.442635559543646,10,7.630279390310156,9
verified fucking meat,47.442635559543646,10,12.147404789373768,8
rare internet land,46.16074862197154,10,7.935490565922562,9
The Genesis of Light,45.78167634186093,15,591.8655117475781,11
Fire Sushi Pizza #82,45.78167634186093,5,0.0,4
Suffering’s Courtesy,45.78167634186093,15,303.3188663236093,13
portrait of web three,45.668137784533116,8,0.0,6
asszuki number six,45.013154601668894,10,14.039714078170686,9
sbarros garlic slipknot,44.329481568297105,10,5.188589985410906,9
last summer,43.222175423175294,4,170.91825834294747,3
Queen Dartaria - Alotta Money,42.72956458573687,1,48.83378809798499,108
Beeple X VeeFriends,42.72956458573687,1,39.53888695588478,881
Satoshi The Creator - Katanas Of Lightning - Classic,42.66852235061439,1,54.20550478876334,10
Have an Apple,40.12672368011427,637,0.18190586066499412,75
Soul,40.113904810738546,1,274.6900580511656,29
Trust (Veiled) by toomuchlag,39.67745282961281,1,91.56335268372186,19
Eroding and Reforming E30,39.67745282961281,1,54.93801161023312,142
FEWO SHOE EPIC,39.67745282961281,1,976.6147197245774,132
Jade Purple Brown Airdrop Stamp,38.28813155822513,23,2.075435994164362,2254
abeef road,38.28630029117146,9,75.32611814114185,9
fuckable big mouth bass,38.28630029117146,9,18.251628301621892,9
asszuki number one,38.28630029117146,9,7.630279390310156,9
never gm alone again,38.28630029117146,9,6.714645863472937,9
high school employment opportunity,37.73264721861056,7,60.73702394686884,6
"Ok, but the real jungle is outside",37.54097460032597,2,34.1836516685895,149
Royal,36.62534107348875,1,170.6435682848963,27
AN IMPORTANT MEMORY FOR HUMANITY BY REFIK ANADOL,36.62534107348875,1,13.293777964973966,1722
Eroding and Reforming DeLorean,36.62534107348875,1,76.30279390310156,96
Chosen,36.62534107348875,12,4578.167634186093,12
Flashes Before Your Eyes,36.56429883836626,1,305.15013337728374,28
FACES,36.412303672911285,9,5.371106268427124,2656
Gold BBX,36.05825870920089,9,2.9111041929911305,252
The Kid Is Coming,33.87844049297709,1,33.87844049297709,20
ASCENSION,33.137998180941395,2,23.19604934654287,313
Extrusion,31.43675108807784,1,54.87696937511064,327
Blue Moon,30.582159796363104,167,1.8923092887969186,26
Entwined,30.521117561240622,1,152605.5878062031,1
Distance,30.521117561240622,1,85.45912917147373,10
Realizing the Future and Screaming,30.46007532611814,1,0.0,1
ULTRAVIOLET,30.46007532611814,1,34.54990507932438,79
TREAD,30.215906385628216,5,0.0,6
Prison #6,29.117146153423555,16,6.207384889605118,10
Don't Say Sh*t,28.99506168317859,3,14.344925253783092,435
Fusion,28.99506168317859,1,54.87696937511064,338
Leonardo Glauso. Photography 5 IIII,28.516490559818337,241,0.5493801161023312,48
Welcome to Aku World: Chapter II,28.384639331953778,1,112.9281349765903,542
Satoshi Sushi #84,28.262554861708814,5,0.0,5
86 - Classic,28.079428156341372,1,61.042235122481245,20
The Unaone,27.46900580511656,1,0.0,1
you're my universe,27.224836864626635,402,0.6104223512248125,25
The Vow by Shavonne Wong,26.736498983646786,1,33.87844049297709,20
STUCK IN THE MUD,26.55337227827934,2,1526055.878062031,1
Gold,26.187118867544452,3,21.364782292868433,356
FVCK_CRYSTAL//,25.942949927054528,1,488.33788097984996,1015
The Persistence of Currency I,25.63773875144212,1,0.0,15
SCROLL-BID-COLLECT,24.722105224604903,2,13.551376197190836,409
A girl (Gugulethu),24.416894048992496,1,0.0,5
